mra_phase,task_id,worker_id,time,action,shuffle_mra_end
1_113_0,MRA_REDUCE,44,9.141,START,
1_114_0,MRA_REDUCE,45,9.143,START,
1_115_0,MRA_REDUCE,48,9.151,START,
1_116_0,MRA_REDUCE,49,9.156,START,
1_117_0,MRA_REDUCE,50,9.159,START,
1_118_0,MRA_REDUCE,51,9.163,START,
1_119_0,MRA_REDUCE,54,9.168,START,
1_120_0,MRA_REDUCE,56,9.172,START,
1_121_0,MRA_REDUCE,57,9.177,START,
1_122_0,MRA_REDUCE,58,9.181,START,
1_123_0,MRA_REDUCE,60,9.186,START,
1_124_0,MRA_REDUCE,61,9.191,START,
1_125_0,MRA_REDUCE,62,9.194,START,
1_126_0,MRA_REDUCE,2,12.009,START,
1_127_0,MRA_REDUCE,3,12.013,START,
1_128_0,MRA_REDUCE,6,12.018,START,
1_129_0,MRA_REDUCE,7,12.022,START,
