 MRA_Host38 , ID: 37 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 38 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host39 , ID: 38 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 39 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host40 , ID: 39 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 40 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host41 , ID: 40 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 41 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host42 , ID: 41 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 42 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host43 , ID: 42 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 43 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host44 , ID: 43 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 44 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host45 , ID: 44 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 45 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host46 , ID: 45 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 46 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host47 , ID: 46 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 47 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host48 , ID: 47 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 48 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host49 , ID: 48 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 49 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host50 , ID: 49 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 50 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host51 , ID: 50 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 51 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host52 , ID: 51 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 52 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host53 , ID: 52 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 53 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host54 , ID: 53 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 54 	 Pre_ex: 208 	 Tem_Cor: 624
 MRA_Host55 , ID: 54 	 Cap_Per: 0.003906 	 te_ex: 416 	 Dist_B: 1 	 Soma: 55 	 Pre_ex: 208 	 Tem_Cor: 624
