  MRA_Host44 , ID: 43 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host45 , ID: 44 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host46 , ID: 45 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host47 , ID: 46 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host48 , ID: 47 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host49 , ID: 48 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host50 , ID: 49 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host51 , ID: 50 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host52 , ID: 51 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host53 , ID: 52 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host54 , ID: 53 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host55 , ID: 54 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host56 , ID: 55 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host57 , ID: 56 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host58 , ID: 57 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host59 , ID: 58 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host60 , ID: 59 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host61 , ID: 60 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host62 , ID: 61 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host63 , ID: 62 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host64 , ID: 63 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host65 , ID: 64 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host66 , ID: 65 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host67 , ID: 66 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host68 , ID: 67 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host69 , ID: 68 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host70 , ID: 69 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host71 , ID: 70 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host72 , ID: 71 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host73 , ID: 72 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host74 , ID: 73 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host75 , ID: 74 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host76 , ID: 75 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host77 , ID: 76 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host78 , ID: 77 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host79 , ID: 78 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host80 , ID: 79 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host81 , ID: 80 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host82 , ID: 81 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host83 , ID: 82 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host84 , ID: 83 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host85 , ID: 84 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host86 , ID: 85 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host87 , ID: 86 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host88 , ID: 87 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host89 , ID: 88 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host90 , ID: 89 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host91 , ID: 90 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host92 , ID: 91 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host93 , ID: 92 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
  MRA_Host94 , ID: 93 	 Dist_Recalc: 0 	 Soma: 0 	 Chunks 64 	 Pre_ex= 0 	 Tem_Cor= 416
